u_th:1.0, beta:0.5, snn_torch_mean_time:0.852065920829773, spconv_mean_time0.35401139259338377
u_th:0.1, beta:0.1, snn_torch_mean_time:0.8032694578170776, spconv_mean_time0.511095404624939
u_th:0.1, beta:0.2, snn_torch_mean_time:0.8421936392784118, spconv_mean_time0.528686773777008
u_th:0.1, beta:0.30000000000000004, snn_torch_mean_time:0.8227558732032776, spconv_mean_time0.5250054240226746
u_th:0.1, beta:0.4, snn_torch_mean_time:0.7849253296852112, spconv_mean_time0.5542648196220398
u_th:0.1, beta:0.1, snn_torch_mean_time:0.8195589065551758, spconv_mean_time0.5152814984321594
u_th:0.1, beta:0.2, snn_torch_mean_time:0.7485488891601563, spconv_mean_time0.5100564002990723
u_th:0.1, beta:0.30000000000000004, snn_torch_mean_time:0.8223167300224304, spconv_mean_time0.5172605514526367
u_th:0.1, beta:0.4, snn_torch_mean_time:0.7887818455696106, spconv_mean_time0.5481011867523193
u_th:0.1, beta:0.5, snn_torch_mean_time:0.8603238224983215, spconv_mean_time0.5726625561714173
u_th:0.1, beta:0.6, snn_torch_mean_time:0.7893595337867737, spconv_mean_time0.5844750881195069
u_th:0.1, beta:0.7000000000000001, snn_torch_mean_time:0.7788320183753967, spconv_mean_time0.6316976189613343
u_th:0.1, beta:0.8, snn_torch_mean_time:0.8109044671058655, spconv_mean_time0.6589854121208191
u_th:0.1, beta:0.9, snn_torch_mean_time:0.8089304804801941, spconv_mean_time0.7678473830223084
u_th:0.2, beta:0.1, snn_torch_mean_time:0.8103274345397949, spconv_mean_time0.4630978226661682
u_th:0.2, beta:0.2, snn_torch_mean_time:0.8392909884452819, spconv_mean_time0.4523263454437256
u_th:0.2, beta:0.30000000000000004, snn_torch_mean_time:0.7973567008972168, spconv_mean_time0.4527299165725708
u_th:0.2, beta:0.4, snn_torch_mean_time:0.819731616973877, spconv_mean_time0.4766667246818542
u_th:0.2, beta:0.5, snn_torch_mean_time:0.8339692234992981, spconv_mean_time0.5019335150718689
u_th:0.2, beta:0.6, snn_torch_mean_time:0.8284589052200317, spconv_mean_time0.4896849632263184
u_th:0.2, beta:0.7000000000000001, snn_torch_mean_time:0.8472591280937195, spconv_mean_time0.5396750330924988
u_th:0.2, beta:0.8, snn_torch_mean_time:0.8579886794090271, spconv_mean_time0.5474683761596679
u_th:0.2, beta:0.9, snn_torch_mean_time:0.8129247188568115, spconv_mean_time0.5898553013801575
u_th:0.30000000000000004, beta:0.1, snn_torch_mean_time:0.7908477902412414, spconv_mean_time0.39320772886276245
u_th:0.30000000000000004, beta:0.2, snn_torch_mean_time:0.7869782090187073, spconv_mean_time0.4142220377922058
u_th:0.30000000000000004, beta:0.30000000000000004, snn_torch_mean_time:0.8268472671508789, spconv_mean_time0.42201235294342043
u_th:0.30000000000000004, beta:0.4, snn_torch_mean_time:0.8154565215110778, spconv_mean_time0.4149588346481323
u_th:0.30000000000000004, beta:0.5, snn_torch_mean_time:0.783611798286438, spconv_mean_time0.45019887685775756
u_th:0.30000000000000004, beta:0.6, snn_torch_mean_time:0.8190728664398194, spconv_mean_time0.43488856554031374
