batch_size:12, num_step:None, snn_torch_mean_time:0.977040696144104, spconv_mean_time0.527798306941986
batch_size:1, num_step:None, snn_torch_mean_time:0.6904392004013061, spconv_mean_time0.1604584813117981
batch_size:3, num_step:None, snn_torch_mean_time:0.7112379193305969, spconv_mean_time0.19621940851211547
batch_size:1, num_step:None, snn_torch_mean_time:0.7074252009391785, spconv_mean_time0.16343117952346803
batch_size:1, num_step:None, snn_torch_mean_time:0.5524265050888062, spconv_mean_time0.14007854461669922
batch_size:1, num_step:None, snn_torch_mean_time:0.45390369892120364, spconv_mean_time0.11728326082229615
batch_size:1, num_step:None, snn_torch_mean_time:0.3924673914909363, spconv_mean_time0.10542733669281006
batch_size:3, num_step:None, snn_torch_mean_time:0.6903638720512391, spconv_mean_time0.19286551475524902
batch_size:3, num_step:None, snn_torch_mean_time:0.5734202861785889, spconv_mean_time0.16521790027618408
batch_size:3, num_step:None, snn_torch_mean_time:0.4826125741004944, spconv_mean_time0.14178814888000488
batch_size:3, num_step:None, snn_torch_mean_time:0.4043916940689087, spconv_mean_time0.12422503232955932
batch_size:5, num_step:None, snn_torch_mean_time:0.7327242136001587, spconv_mean_time0.23680909872055053
batch_size:5, num_step:None, snn_torch_mean_time:0.6059048891067504, spconv_mean_time0.1942360520362854
batch_size:5, num_step:None, snn_torch_mean_time:0.5106457591056823, spconv_mean_time0.17130852937698365
batch_size:5, num_step:None, snn_torch_mean_time:0.4282606244087219, spconv_mean_time0.15475064516067505
batch_size:7, num_step:None, snn_torch_mean_time:0.8678565144538879, spconv_mean_time0.301422643661499
batch_size:7, num_step:None, snn_torch_mean_time:0.6779352068901062, spconv_mean_time0.2538831472396851
batch_size:7, num_step:None, snn_torch_mean_time:0.5794351100921631, spconv_mean_time0.21593234539031983
batch_size:7, num_step:None, snn_torch_mean_time:0.4920900583267212, spconv_mean_time0.19605762958526612
batch_size:9, num_step:None, snn_torch_mean_time:0.9061116337776184, spconv_mean_time0.3942167401313782
batch_size:9, num_step:None, snn_torch_mean_time:0.7500482559204101, spconv_mean_time0.32586214542388914
batch_size:9, num_step:None, snn_torch_mean_time:0.6506475448608399, spconv_mean_time0.27375067472457887
batch_size:9, num_step:None, snn_torch_mean_time:0.5203044414520264, spconv_mean_time0.24162358045578003
batch_size:11, num_step:None, snn_torch_mean_time:1.022508180141449, spconv_mean_time0.49496095180511473
batch_size:11, num_step:None, snn_torch_mean_time:0.8084088444709778, spconv_mean_time0.3906761288642883
batch_size:11, num_step:None, snn_torch_mean_time:0.6603276133537292, spconv_mean_time0.3351076602935791
batch_size:11, num_step:None, snn_torch_mean_time:0.5823810577392579, spconv_mean_time0.28962292671203616
